,index,image,psnr,mse,ssim,ncc
0,1,watermarked_1.png,33.56228733372756,0.00044032279402017593,0.9484165,0.98256487
1,2,watermarked_10.png,33.35578937415178,0.0004617649537976831,0.95103055,0.9893083
2,3,watermarked_12.png,31.32580153328936,0.0007369190570898354,0.9277707,0.9850475
3,4,watermarked_13.png,35.033654068873275,0.00031378664425574243,0.94624853,0.9918049
4,5,watermarked_14.png,36.227190496627095,0.00023838601191528141,0.9570823,0.994903
5,6,watermarked_15.png,37.57699524103223,0.0001747029455145821,0.9667248,0.9967377
6,7,watermarked_16.png,29.62050089013095,0.0010913143632933497,0.9264086,0.96042377
7,8,watermarked_18.png,28.297485445952955,0.0014799649361521006,0.9054486,0.9652182
8,9,watermarked_19.png,32.79286476420886,0.0005256703007034957,0.9366224,0.992702
9,10,watermarked_20.png,35.15467436878766,0.00030516338301822543,0.95726305,0.9940971
10,11,watermarked_21.png,35.08329130870866,0.0003102206683252007,0.9512784,0.98885405
11,12,watermarked_24.png,35.371787236707426,0.00029028268181718886,0.93329746,0.9925075
12,13,watermarked_31.png,37.3571322349333,0.00018377504602540284,0.9739124,0.9937218
13,14,watermarked_32.png,34.6262374863137,0.00034464828786440194,0.9534599,0.9950308
14,15,watermarked_34.png,35.33887570436968,0.00029249084764160216,0.9592397,0.9938132
15,16,watermarked_37.png,35.646714960163465,0.000272476056125015,0.9563725,0.992312
16,17,watermarked_38.png,35.82025677996922,0.0002618027210701257,0.9323521,0.9805013
17,18,watermarked_39.png,34.561614795397155,0.00034981497447006404,0.9516056,0.9911439
18,19,watermarked_4.png,30.90213376102629,0.0008124311571009457,0.895158,0.98126596
19,20,watermarked_41.png,33.65542842296401,0.0004309799405746162,0.9461107,0.98700273
20,21,watermarked_42.png,35.452551597836,0.0002849342708941549,0.94738466,0.9942125
21,22,watermarked_45.png,36.72399579993555,0.00021261809160932899,0.9717355,0.9963031
22,23,watermarked_46.png,32.002418560529065,0.0006306059658527374,0.9469805,0.9860502
23,24,watermarked_47.png,31.35076687040588,0.0007326950435526669,0.9424804,0.99197644
24,25,watermarked_48.png,34.57124714704189,0.0003490399685688317,0.95341325,0.9920469
25,26,watermarked_49.png,31.430635888430324,0.0007193435449153185,0.934555,0.9874587
26,27,watermarked_5.png,35.16185244940622,0.00030465942109003663,0.9555969,0.99421024
27,28,watermarked_51.png,34.932061075015525,0.00032121347612701356,0.96308327,0.9948405
28,29,watermarked_53.png,32.688584142071065,0.0005384451942518353,0.9507768,0.98963726
29,30,watermarked_55.png,34.118480251412755,0.0003873930836562067,0.94988155,0.9884241
30,31,watermarked_56.png,36.88938598352667,0.00020467329886741936,0.9790368,0.9965893
31,32,watermarked_58.png,33.80411111719725,0.0004164748534094542,0.96530217,0.9850009
32,33,watermarked_60.png,39.575443922344135,0.00011026945139747113,0.9803972,0.9966514
33,34,watermarked_61.png,37.04055308269757,0.00019767168851103634,0.97179073,0.99493736
34,35,watermarked_62.png,33.180449464704836,0.0004807894874829799,0.93587464,0.9943194
35,36,watermarked_63.png,34.998568856756776,0.0003163318906445056,0.9437124,0.98835677
36,37,watermarked_64.png,30.478873863285525,0.000895596866030246,0.92456037,0.98523104
37,38,watermarked_65.png,33.23603970424594,0.0004746745398733765,0.95248836,0.98594195
38,39,watermarked_66.png,33.867280436732784,0.0004104609542991966,0.92866564,0.98925203
39,40,watermarked_8.png,33.1517354426668,0.00048397883074358106,0.9456725,0.98988104
