Epoch,Loss,PSNR,Ext_MSE,Sanity_Check_MSE
1,0.603037,18.97,0.057132,
2,0.160839,22.77,0.036998,
3,0.148139,18.62,0.029209,
4,0.146183,23.33,0.013426,
5,0.116771,21.3,0.018986,
6,0.11013,22.5,0.027578,
7,0.111978,20.29,0.010027,
8,0.089707,23.54,0.011526,
9,0.084378,23.5,0.008034,
10,0.0765,22.94,0.006894,0.18868
11,0.082383,25.15,0.007224,
12,0.075708,21.67,0.006738,
13,0.079135,24.29,0.014533,
14,0.071561,23.77,0.008911,
15,0.081466,19.9,0.010859,
16,0.099629,23.57,0.00986,
17,0.071522,25.01,0.015549,
18,0.065375,25.61,0.008421,
19,0.064061,24.81,0.019754,
20,0.063855,23.73,0.015938,0.1393
21,0.063612,25.75,0.007777,
22,0.062626,25.78,0.007658,
23,0.057026,25.85,0.003873,
24,0.052465,27.6,0.005947,
25,0.051439,27.15,0.037821,
26,0.060487,23.18,0.010243,
27,0.053279,24.91,0.004842,
28,0.050676,27.21,0.009068,
29,0.051926,26.34,0.0104,
30,0.0486,26.81,0.00692,0.03873
31,0.050652,26.59,0.007811,
32,0.047714,26.12,0.009145,
33,0.05202,24.29,0.004738,
34,0.047726,25.37,0.007272,
35,0.059912,23.92,0.008532,
36,0.049031,25.04,0.007843,
37,0.049649,26.77,0.006254,
38,0.046804,27.21,0.005421,
39,0.049261,26.79,0.007248,
40,0.04873,26.46,0.005421,0.02052
41,0.048459,24.71,0.013234,
42,0.047792,27.23,0.006191,
43,0.041559,26.94,0.008979,
44,0.044809,25.32,0.008044,
45,0.040303,27.55,0.008249,
46,0.039839,27.49,0.006069,
47,0.038499,25.79,0.004122,
48,0.036064,28.34,0.003872,
49,0.037857,27.4,0.004474,
50,0.048933,26.58,0.005633,0.05535
51,0.037,27.64,0.003182,
52,0.03965,28.89,0.008258,
53,0.040042,28.43,0.006598,
54,0.035298,27.12,0.007133,
55,0.038775,28.41,0.004071,
56,0.036467,28.1,0.00648,
57,0.03634,28.37,0.004299,
58,0.034815,28.11,0.003631,
59,0.031734,27.4,0.006676,
60,0.031523,27.41,0.004279,0.01743
61,0.031887,28.4,0.004104,
62,0.033986,28.41,0.005805,
63,0.033781,28.34,0.005933,
64,0.035004,27.7,0.007041,
65,0.031521,27.52,0.005847,
66,0.031041,27.96,0.004398,
67,0.032806,27.86,0.006558,
68,0.029696,29.37,0.004913,
69,0.031799,28.09,0.004245,
70,0.026753,30.41,0.005153,0.10279
71,0.03212,28.65,0.003252,
72,0.03517,29.53,0.008108,
73,0.028061,27.89,0.006788,
74,0.028674,29.73,0.004799,
75,0.028715,28.56,0.007501,
76,0.026474,29.21,0.003723,
77,0.034529,28.15,0.004407,
78,0.026883,29.45,0.003758,
79,0.025459,28.98,0.002681,
80,0.030032,27.96,0.005394,0.02956
81,0.02679,28.09,0.006285,
82,0.025135,29.13,0.005173,
83,0.023923,29.49,0.005824,
84,0.023444,28.75,0.004814,
85,0.026088,27.13,0.004566,
86,0.028043,29.37,0.002556,
87,0.024018,28.3,0.004695,
88,0.026978,29.02,0.002527,
89,0.022746,29.43,0.002562,
90,0.021787,29.8,0.004064,0.01694
91,0.019661,29.74,0.003071,
92,0.023553,27.81,0.002949,
93,0.026669,26.73,0.00477,
94,0.022068,28.92,0.002963,
95,0.0219,29.97,0.002055,
96,0.02398,29.57,0.003915,
97,0.021499,29.34,0.004302,
98,0.018058,30.62,0.001978,
99,0.017775,31.34,0.003048,
100,0.016562,30.86,0.001563,0.03026
