Epoch,Loss,PSNR,Ext_MSE,Sanity_Check_MSE
1,0.70408,18.54,0.089952,
2,0.181381,21.05,0.042125,
3,0.129525,21.03,0.059056,
4,0.135093,20.69,0.020444,
5,0.117862,22.26,0.023388,
6,0.12186,23.89,0.032208,
7,0.119467,20.77,0.02854,
8,0.106917,22.7,0.017482,
9,0.110595,20.34,0.037368,
10,0.147181,22.23,0.061674,0.09683
11,0.123367,22.4,0.039454,
12,0.105891,20.67,0.020991,
13,0.105257,21.31,0.033044,
14,0.107274,22.03,0.033693,
15,0.099646,19.01,0.031526,
16,0.101364,23.28,0.039417,
17,0.103796,21.28,0.033629,
18,0.102503,22.93,0.024158,
19,0.094052,21.89,0.032433,
20,0.091117,22.64,0.022214,0.10088
21,0.117697,23.11,0.013934,
22,0.106855,25.32,0.017006,
23,0.072502,25.04,0.016375,
24,0.072148,24.52,0.021262,
25,0.074566,25.47,0.015556,
26,0.078765,22.29,0.016208,
27,0.078907,26.2,0.010724,
28,0.06183,25.65,0.013414,
29,0.09191,25.48,0.022154,
30,0.061321,25.22,0.015184,0.20568
31,0.065512,24.23,0.021353,
32,0.064895,26.2,0.01315,
33,0.069654,24.42,0.019926,
34,0.055185,26.73,0.008313,
35,0.054742,26.41,0.009725,
36,0.060085,24.27,0.017875,
37,0.062588,23.81,0.011652,
38,0.059752,25.15,0.0311,
39,0.057248,26.07,0.008545,
40,0.069649,26.02,0.008637,0.03382
41,0.048239,27.14,0.014655,
42,0.048084,27.54,0.005809,
43,0.049994,26.79,0.012374,
44,0.046257,26.65,0.015942,
45,0.047102,27.83,0.018849,
46,0.047021,27.65,0.006607,
47,0.045843,27.53,0.009067,
48,0.046969,25.67,0.010675,
49,0.04653,27.49,0.014272,
50,0.046582,26.88,0.007099,0.07177
51,0.058233,25.93,0.01243,
52,0.042335,26.3,0.01399,
53,0.045012,27.99,0.012601,
54,0.044419,27.49,0.011488,
55,0.043355,26.49,0.013882,
56,0.040882,27.72,0.009487,
57,0.039548,26.83,0.006938,
58,0.038119,27.26,0.011073,
59,0.041983,26.38,0.010784,
60,0.040519,27.25,0.010449,0.02672
61,0.045906,26.09,0.005316,
62,0.036207,27.66,0.006987,
63,0.039933,26.35,0.017006,
64,0.041962,27.4,0.010931,
65,0.035814,26.78,0.008383,
66,0.037635,27.16,0.017237,
67,0.035627,28.72,0.009966,
68,0.033709,26.01,0.009552,
69,0.036032,27.63,0.006992,
70,0.03313,28.07,0.005373,0.00936
71,0.034627,27.71,0.006789,
72,0.040566,27.32,0.010832,
73,0.03331,28.47,0.01509,
74,0.03374,29.73,0.005499,
75,0.033231,28.1,0.013096,
76,0.03213,28.3,0.012601,
77,0.033019,27.25,0.00392,
78,0.0333,28.2,0.009802,
79,0.032609,29.0,0.011105,
80,0.03239,29.29,0.014244,0.0262
81,0.028122,28.32,0.010597,
82,0.028071,29.6,0.011828,
83,0.028162,28.13,0.006124,
84,0.027282,28.01,0.006952,
85,0.029005,29.66,0.01196,
86,0.028084,28.81,0.00872,
87,0.029319,28.99,0.006638,
88,0.03009,29.13,0.005295,
89,0.02737,28.52,0.006819,
90,0.027547,28.96,0.005591,0.00951
91,0.02239,29.62,0.003727,
92,0.022147,29.41,0.00275,
93,0.022286,29.7,0.011143,
94,0.020889,30.04,0.002959,
95,0.022382,30.09,0.009429,
96,0.020595,29.76,0.002473,
97,0.020943,29.87,0.010329,
98,0.020147,30.33,0.004021,
99,0.021274,29.61,0.002236,
100,0.020117,30.13,0.012944,0.00458
