Epoch,Loss,PSNR,Ext_MSE,Sanity_Check_MSE
1,2.486742,9.22,0.139917,
2,0.952691,13.86,0.107833,
3,0.35079,19.37,0.055255,
4,0.130863,23.29,0.027497,
5,0.070035,25.0,0.011908,
6,0.053786,26.07,0.034466,
7,0.041456,27.1,0.028322,
8,0.033862,27.58,0.005877,
9,0.031316,28.11,0.002952,
10,0.030138,28.0,0.020073,0.00973
11,0.025864,28.42,0.003524,
12,0.026624,28.78,0.002811,
13,0.023795,29.28,0.002751,
14,0.023354,28.87,0.00361,
15,0.02147,30.05,0.004584,
16,0.02252,29.4,0.003195,
17,0.021993,29.34,0.003544,
18,0.020297,29.94,0.017628,
19,0.020853,30.11,0.016889,
20,0.021466,29.46,0.01456,0.01158
21,0.017749,30.74,0.003257,
22,0.018718,30.7,0.002358,
23,0.018735,30.37,0.014778,
24,0.018252,30.78,0.002977,
25,0.019592,30.34,0.003716,
26,0.018015,30.98,0.002464,
27,0.017648,30.43,0.003793,
28,0.014886,31.22,0.004441,
29,0.01615,31.41,0.003894,
30,0.017407,30.7,0.00319,0.00783
31,0.016423,31.11,0.002743,
32,0.015201,31.64,0.002391,
33,0.016056,31.03,0.003301,
34,0.015638,31.06,0.00409,
35,0.015071,31.26,0.001432,
36,0.013854,31.63,0.00156,
37,0.013815,31.21,0.002084,
38,0.014767,31.24,0.014622,
39,0.015399,31.28,0.001501,
40,0.015048,31.21,0.001772,0.00981
41,0.014246,31.6,0.002602,
42,0.016012,31.11,0.002371,
43,0.015515,31.38,0.013248,
44,0.013551,31.51,0.001425,
45,0.014493,31.76,0.013972,
46,0.014662,31.52,0.012946,
47,0.013438,31.68,0.00113,
48,0.015256,31.51,0.012879,
49,0.013596,31.9,0.001391,
50,0.013148,32.03,0.015349,0.01135
51,0.015285,31.45,0.012416,
52,0.013243,31.94,0.0146,
53,0.013345,31.93,0.002462,
54,0.013267,31.75,0.001505,
55,0.014139,31.77,0.013649,
56,0.014453,31.59,0.001432,
57,0.01385,31.85,0.013963,
58,0.013151,31.81,0.001898,
59,0.0144,31.75,0.013632,
60,0.012057,32.16,0.00169,0.01259
61,0.014141,31.96,0.002781,
62,0.013522,31.96,0.001862,
63,0.014327,31.88,0.002055,
64,0.012583,32.14,0.001656,
65,0.012928,32.06,0.001712,
66,0.013848,32.07,0.001779,
67,0.013139,31.93,0.001267,
68,0.012491,31.97,0.001339,
69,0.01251,32.13,0.001422,
70,0.012594,32.07,0.001709,0.00763
71,0.01297,31.81,0.001671,
72,0.012327,32.12,0.014861,
73,0.012534,32.09,0.001972,
74,0.013952,31.87,0.013472,
75,0.013025,31.97,0.001959,
76,0.01441,31.89,0.013289,
77,0.013167,31.88,0.001227,
78,0.012398,32.05,0.001073,
79,0.012646,32.08,0.000993,
80,0.012575,32.0,0.001893,0.00702
81,0.012464,32.08,0.000984,
82,0.013301,31.97,0.000964,
83,0.013567,31.92,0.001221,
84,0.013907,31.82,0.001881,
85,0.011819,31.99,0.001243,
86,0.011825,32.04,0.001932,
87,0.013055,32.04,0.013754,
88,0.013265,32.0,0.001257,
89,0.012071,32.04,0.000982,
90,0.012805,32.03,0.001261,0.00785
91,0.013469,31.98,0.000962,
92,0.013292,31.98,0.001906,
93,0.012954,32.01,0.013683,
94,0.013362,31.99,0.001917,
95,0.013563,31.99,0.001924,
96,0.012509,31.99,0.001913,
97,0.012494,32.02,0.013764,
98,0.013512,32.0,0.013754,
99,0.013049,32.0,0.013555,
100,0.012959,31.99,0.001183,0.00772
101,0.013331,31.99,0.001926,
102,0.013182,31.99,0.001291,
103,0.01224,32.01,0.013714,
104,0.012364,32.01,0.000977,
105,0.012949,32.01,0.000974,
106,0.013708,32.0,0.00194,
107,0.013076,32.0,0.001938,
108,0.011834,32.01,0.000976,
109,0.014231,32.0,0.001937,
110,0.012011,32.0,0.001939,0.00842
111,0.012617,32.0,0.001393,
112,0.012221,32.01,0.000971,
113,0.012118,32.01,0.001941,
114,0.013344,32.01,0.000971,
115,0.012669,32.01,0.000968,
116,0.013541,32.01,0.000968,
117,0.012245,32.01,0.000969,
118,0.013233,32.01,0.000971,
119,0.01213,32.01,0.00097,
120,0.01182,32.01,0.013776,0.00821
121,0.013549,32.01,0.013805,
122,0.013476,32.01,0.013899,
123,0.014232,32.01,0.00097,
124,0.011446,32.01,0.00097,
125,0.01266,32.01,0.013793,
126,0.013835,32.01,0.013877,
127,0.013282,32.01,0.001933,
128,0.011482,32.01,0.00097,
129,0.01262,32.01,0.013816,
130,0.012645,32.01,0.001935,0.00838
131,0.012573,32.01,0.013677,
132,0.013641,32.01,0.000971,
133,0.011013,32.01,0.00097,
134,0.011979,32.01,0.001935,
135,0.013414,32.01,0.00097,
136,0.012748,32.01,0.013678,
137,0.012174,32.01,0.001223,
138,0.012929,32.01,0.000971,
139,0.013802,32.01,0.001935,
140,0.01341,32.01,0.013724,0.00814
141,0.012123,32.01,0.013633,
142,0.012878,32.01,0.001935,
143,0.012435,32.01,0.00119,
144,0.013511,32.01,0.01365,
145,0.012169,32.01,0.00097,
146,0.014011,32.01,0.000971,
147,0.012482,32.01,0.000971,
148,0.013171,32.01,0.00126,
149,0.012771,32.01,0.001935,
150,0.012351,32.01,0.001935,0.00879
