Epoch,Loss,PSNR,Ext_MSE,Sanity_Check_MSE
1,0.969015,3.35,0.275446,
2,0.540406,7.03,0.23107,
3,0.279121,10.75,0.071176,
4,0.106729,13.7,0.050812,
5,0.065265,15.61,0.007448,
6,0.044024,17.6,0.006663,
7,0.031844,19.03,0.004683,
8,0.026808,19.94,0.022785,
9,0.021803,20.65,0.002688,
10,0.019582,21.19,0.001896,0.01136
11,0.017875,21.54,0.004793,
12,0.015176,22.05,0.001422,
13,0.01425,22.37,0.003617,
14,0.012825,22.7,0.003188,
15,0.012573,22.84,0.001365,
16,0.013727,22.75,0.000841,
17,0.012411,22.69,0.001327,
18,0.012796,22.89,0.013738,
19,0.012586,22.78,0.000903,
20,0.011047,23.17,0.00114,0.00379
21,0.056302,25.78,0.003689,
22,0.048358,26.36,0.002757,
23,0.04018,27.29,0.02373,
24,0.032054,28.57,0.003622,
25,0.029953,29.32,0.003434,
26,0.026861,29.05,0.002772,
27,0.025761,29.39,0.003327,
28,0.025462,29.36,0.023856,
29,0.024249,29.94,0.003957,
30,0.025666,29.7,0.02318,0.01359
31,0.024913,29.98,0.002458,
32,0.024494,29.55,0.004112,
33,0.022119,30.36,0.001974,
34,0.021366,30.56,0.025259,
35,0.023158,30.19,0.002342,
36,0.023295,30.29,0.021557,
37,0.021525,30.57,0.022908,
38,0.021458,30.68,0.023152,
39,0.02018,30.85,0.023333,
40,0.019575,30.82,0.001841,0.025
41,0.018847,31.02,0.002022,
42,0.021797,30.62,0.002044,
43,0.018047,31.09,0.00335,
44,0.020929,30.82,0.001827,
45,0.024247,30.68,0.020999,
46,0.019765,30.84,0.001867,
47,0.019899,30.92,0.001936,
48,0.02012,31.02,0.001797,
49,0.019881,30.93,0.003331,
50,0.020251,30.85,0.002025,0.01781
51,0.018981,31.09,0.003283,
52,0.020375,31.01,0.001728,
53,0.019611,31.02,0.001952,
54,0.018027,31.12,0.003255,
55,0.017698,31.21,0.002029,
56,0.019303,31.21,0.023345,
57,0.018055,31.2,0.001959,
58,0.020356,31.14,0.001848,
59,0.020354,31.11,0.001663,
60,0.019516,31.14,0.003114,0.02043
61,0.064693,31.82,0.004734,
62,0.061904,31.99,0.002889,
63,0.06068,32.07,0.004836,
64,0.060708,32.14,0.004983,
65,0.060718,32.17,0.00498,
66,0.059034,32.24,0.033422,
67,0.060872,32.23,0.003293,
68,0.059937,32.29,0.032994,
69,0.060574,32.28,0.005182,
70,0.061006,32.29,0.003355,0.03881
71,0.064086,32.27,0.032416,
72,0.063748,32.26,0.032126,
73,0.060739,32.29,0.003343,
74,0.061653,32.3,0.003411,
75,0.060802,32.3,0.005127,
76,0.060789,32.31,0.032633,
77,0.060728,32.31,0.003188,
78,0.059639,32.32,0.003525,
79,0.059213,32.33,0.005216,
80,0.060492,32.34,0.003528,0.03775
81,0.063266,32.33,0.003222,
82,0.060924,32.33,0.032887,
83,0.059413,32.34,0.003238,
84,0.060969,32.34,0.003232,
85,0.061199,32.34,0.003407,
86,0.062878,32.34,0.033553,
87,0.060034,32.34,0.003226,
88,0.06083,32.34,0.03299,
89,0.060799,32.34,0.03302,
90,0.061223,32.34,0.005185,0.03765
91,0.062023,32.34,0.005184,
92,0.059246,32.34,0.003241,
93,0.061874,32.34,0.032833,
94,0.06436,32.34,0.003236,
95,0.06288,32.34,0.003233,
96,0.058521,32.34,0.003239,
97,0.058863,32.34,0.003443,
98,0.059518,32.34,0.005193,
99,0.059536,32.35,0.003247,
100,0.061163,32.35,0.003246,0.03732
