,Epoch,Loss,PSNR,Ext_MSE,Sanity_Check_MSE
0,1,0.396581,6.55,0.014822,
1,2,0.195288,9.27,0.006151,
2,3,0.112787,11.49,0.011388,
3,4,0.07852,13.01,0.009274,
4,5,0.060984,14.37,0.009048,
5,6,0.048297,15.55,0.007627,
6,7,0.037176,16.72,0.004951,
7,8,0.027476,18.45,0.007465,
8,9,0.021246,19.64,0.002078,
9,10,0.016791,20.8,0.008569,0.021
10,11,0.012583,22.04,0.001444,
11,12,0.011698,22.46,0.001621,
12,13,0.010736,22.94,0.008377,
13,14,0.010104,23.24,0.00156,
14,15,0.009489,23.53,0.001702,
15,16,0.008998,23.83,0.009425,
16,17,0.008725,24.07,0.001101,
17,18,0.007957,24.12,0.002148,
18,19,0.007463,24.64,0.001661,
19,20,0.008041,24.28,0.001236,0.05802
20,21,0.03707,28.38,0.004863,
21,22,0.030672,28.25,0.004605,
22,23,0.028868,28.08,0.018328,
23,24,0.026366,27.98,0.005716,
24,25,0.025812,28.94,0.003681,
25,26,0.023463,29.5,0.003775,
26,27,0.022305,29.81,0.006092,
27,28,0.021558,29.91,0.020194,
28,29,0.020146,29.86,0.003351,
29,30,0.019931,30.15,0.003369,0.07603
30,31,0.020295,30.02,0.003675,
31,32,0.020058,30.91,0.002489,
32,33,0.020723,30.65,0.003466,
33,34,0.019259,30.88,0.003591,
34,35,0.019938,30.75,0.003384,
35,36,0.018996,31.09,0.002729,
36,37,0.018578,31.01,0.002182,
37,38,0.018703,31.12,0.003312,
38,39,0.017845,31.31,0.016777,
39,40,0.017591,31.23,0.003365,0.0773
40,41,0.017555,31.37,0.00186,
41,42,0.017962,31.36,0.002151,
42,43,0.017784,31.29,0.001813,
43,44,0.019152,31.21,0.015631,
44,45,0.017514,31.36,0.001826,
45,46,0.017138,31.47,0.016955,
46,47,0.019574,31.15,0.001991,
47,48,0.017928,31.35,0.002105,
48,49,0.018006,31.32,0.001854,
49,50,0.01843,31.28,0.003065,0.07386
50,51,0.016754,31.36,0.003155,
51,52,0.016861,31.43,0.001766,
52,53,0.018112,31.37,0.015997,
53,54,0.017243,31.39,0.001768,
54,55,0.017915,31.32,0.003013,
55,56,0.018105,31.33,0.003002,
56,57,0.017583,31.36,0.00204,
57,58,0.016754,31.41,0.003001,
58,59,0.017332,31.42,0.002022,
59,60,0.016995,31.43,0.001725,0.07819
60,61,0.058927,32.24,0.004869,
61,62,0.05984,32.27,0.003311,
62,63,0.058239,32.37,0.0041,
63,64,0.058753,32.39,0.005182,
64,65,0.060141,32.37,0.003509,
65,66,0.059209,32.41,0.003987,
66,67,0.058102,32.46,0.005333,
67,68,0.0565,32.48,0.004212,
68,69,0.058749,32.47,0.023638,
69,70,0.057102,32.48,0.004174,0.08298
70,71,0.056335,32.51,0.005505,
71,72,0.057172,32.52,0.024169,
72,73,0.056622,32.52,0.005511,
73,74,0.057412,32.53,0.003922,
74,75,0.057633,32.53,0.024377,
75,76,0.056572,32.53,0.003912,
76,77,0.057791,32.53,0.005499,
77,78,0.057201,32.53,0.004237,
78,79,0.056421,32.54,0.003929,
79,80,0.058029,32.54,0.024698,0.08273
80,81,0.058586,32.53,0.003912,
81,82,0.058625,32.53,0.00422,
82,83,0.05764,32.53,0.005481,
83,84,0.056086,32.54,0.003925,
84,85,0.057112,32.54,0.024093,
85,86,0.05671,32.54,0.003921,
86,87,0.057922,32.54,0.005504,
87,88,0.056875,32.54,0.004396,
88,89,0.056778,32.55,0.005513,
89,90,0.054859,32.55,0.024576,0.08267
90,91,0.057363,32.55,0.024159,
91,92,0.056037,32.55,0.024443,
92,93,0.056832,32.55,0.00434,
93,94,0.059068,32.55,0.003935,
94,95,0.057328,32.55,0.004236,
95,96,0.055998,32.55,0.004369,
96,97,0.057123,32.55,0.0243,
97,98,0.055938,32.55,0.023974,
98,99,0.057837,32.55,0.024478,
99,100,0.055423,32.55,0.004568,0.0827
